(17/04/2017,List((0.000453,0.000459)))
(25/03/2015,List((0.000130,0.000131)))
(15/10/2014,List((0.000285,0.000268)))
(23/10/2017,List((0.001022,0.001016)))
(25/02/2014,List((0.001051,0.000989)))
(01/05/2015,List((0.000103,0.000098)))
(11/10/2016,List((0.000228,0.000230)))
(06/12/2014,List((0.000233,0.000230)))
(01/10/2015,List((0.000123,0.000122)))
(03/11/2014,List((0.000221,0.000216)))
(04/09/2016,List((0.000236,0.000235)))
(23/06/2016,List((0.000265,0.000280)))
(17/04/2015,List((0.000107,0.000107)))
(04/08/2015,List((0.000173,0.000176)))
(20/03/2014,List((0.000772,0.000723)))
(19/01/2016,List((0.000151,0.000148)))
(09/05/2017,List((0.001531,0.001239)))
(06/06/2017,List((0.003859,0.003741)))
(28/12/2014,List((0.000183,0.000184)))
(13/07/2014,List((0.000274,0.000270)))
(13/03/2014,List((0.000906,0.000868)))
(25/11/2016,List((0.000218,0.000220)))
(29/06/2016,List((0.000298,0.000296)))
(06/02/2015,List((0.000141,0.000144)))
(09/08/2016,List((0.000233,0.000237)))
(31/10/2016,List((0.000222,0.000220)))
(11/08/2015,List((0.000160,0.000164)))
(16/05/2017,List((0.001123,0.001059)))
(01/06/2014,List((0.000339,0.000403)))
(18/10/2015,List((0.000121,0.000119)))
(16/02/2016,List((0.000298,0.000292)))
(20/08/2015,List((0.000131,0.000139)))
(05/02/2016,List((0.000285,0.000305)))
(10/06/2016,List((0.000265,0.000260)))
